GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 10
Simulation 1 = 7664
Simulation 2 = 8181
Simulation 3 = 6807
Simulation 4 = 9491
Simulation 5 = 9038
Simulation 6 = 10897
Simulation 7 = 7350
Simulation 8 = 6839
Simulation 9 = 9287
Simulation 10 = 9317

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 12
Simulation 1 = 7134
Simulation 2 = 11040
Simulation 3 = 9412
Simulation 4 = 8285
Simulation 5 = 7120
Simulation 6 = 9284
Simulation 7 = 7567
Simulation 8 = 7447
Simulation 9 = 9627
Simulation 10 = 7527

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 14
Simulation 1 = 7860
Simulation 2 = 6220
Simulation 3 = 6725
Simulation 4 = 7325
Simulation 5 = 7555
Simulation 6 = 9946
Simulation 7 = 8146
Simulation 8 = 9442
Simulation 9 = 9591
Simulation 10 = 7570

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 16
Simulation 1 = 7616
Simulation 2 = 7694
Simulation 3 = 7646
Simulation 4 = 7367
Simulation 5 = 7554
Simulation 6 = 7315
Simulation 7 = 8004
Simulation 8 = 8204
Simulation 9 = 8451
Simulation 10 = 6974

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 18
Simulation 1 = 8513
Simulation 2 = 8468
Simulation 3 = 6261
Simulation 4 = 7057
Simulation 5 = 8457
Simulation 6 = 7530
Simulation 7 = 6889
Simulation 8 = 9183
Simulation 9 = 6962
Simulation 10 = 8225

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 20
Simulation 1 = 7882
Simulation 2 = 7324
Simulation 3 = 8409
Simulation 4 = 7232
Simulation 5 = 6765
Simulation 6 = 6821
Simulation 7 = 7798
Simulation 8 = 8134
Simulation 9 = 5576
Simulation 10 = 6104

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 22
Simulation 1 = 6638
Simulation 2 = 6767
Simulation 3 = 7205
Simulation 4 = 6436
Simulation 5 = 6264
Simulation 6 = 7307
Simulation 7 = 6769
Simulation 8 = 5657
Simulation 9 = 6989
Simulation 10 = 7288

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 24
Simulation 1 = 6559
Simulation 2 = 6683
Simulation 3 = 6461
Simulation 4 = 6944
Simulation 5 = 7320
Simulation 6 = 7372
Simulation 7 = 6614
Simulation 8 = 7359
Simulation 9 = 7323
Simulation 10 = 7683

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 26
Simulation 1 = 6565
Simulation 2 = 8229
Simulation 3 = 8088
Simulation 4 = 6746
Simulation 5 = 6219
Simulation 6 = 5718
Simulation 7 = 7549
Simulation 8 = 6422
Simulation 9 = 5928
Simulation 10 = 6978

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 28
Simulation 1 = 7828
Simulation 2 = 7053
Simulation 3 = 5944
Simulation 4 = 6079
Simulation 5 = 7299
Simulation 6 = 7690
Simulation 7 = 5900
Simulation 8 = 6585
Simulation 9 = 6646
Simulation 10 = 6270

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 30
Simulation 1 = 6683
Simulation 2 = 7521
Simulation 3 = 6235
Simulation 4 = 7767
Simulation 5 = 5658
Simulation 6 = 6833
Simulation 7 = 6720
Simulation 8 = 6340
Simulation 9 = 6710
Simulation 10 = 6994

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 32
Simulation 1 = 6136
Simulation 2 = 6815
Simulation 3 = 6174
Simulation 4 = 6436
Simulation 5 = 6246
Simulation 6 = 5788
Simulation 7 = 6202
Simulation 8 = 7049
Simulation 9 = 6531
Simulation 10 = 7481

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 34
Simulation 1 = 5479
Simulation 2 = 5774
Simulation 3 = 7607
Simulation 4 = 7119
Simulation 5 = 6107
Simulation 6 = 6725
Simulation 7 = 6065
Simulation 8 = 6436
Simulation 9 = 5966
Simulation 10 = 5567

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 36
Simulation 1 = 7219
Simulation 2 = 6648
Simulation 3 = 6702
Simulation 4 = 6713
Simulation 5 = 7025
Simulation 6 = 7479
Simulation 7 = 5396
Simulation 8 = 6020
Simulation 9 = 4840
Simulation 10 = 5073

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 38
Simulation 1 = 6507
Simulation 2 = 6528
Simulation 3 = 6517
Simulation 4 = 6109
Simulation 5 = 6396
Simulation 6 = 6995
Simulation 7 = 5987
Simulation 8 = 6095
Simulation 9 = 6313
Simulation 10 = 6862

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 40
Simulation 1 = 5873
Simulation 2 = 6367
Simulation 3 = 7105
Simulation 4 = 7011
Simulation 5 = 6647
Simulation 6 = 6755
Simulation 7 = 6772
Simulation 8 = 5532
Simulation 9 = 6721
Simulation 10 = 5742

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 42
Simulation 1 = 6669
Simulation 2 = 6972
Simulation 3 = 8051
Simulation 4 = 5977
Simulation 5 = 6435
Simulation 6 = 6177
Simulation 7 = 6802
Simulation 8 = 7231
Simulation 9 = 6502
Simulation 10 = 8253

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 44
Simulation 1 = 5993
Simulation 2 = 8057
Simulation 3 = 6043
Simulation 4 = 6586
Simulation 5 = 7513
Simulation 6 = 6741
Simulation 7 = 7143
Simulation 8 = 7518
Simulation 9 = 5691
Simulation 10 = 6381

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 46
Simulation 1 = 7042
Simulation 2 = 5998
Simulation 3 = 7033
Simulation 4 = 5788
Simulation 5 = 6452
Simulation 6 = 8552
Simulation 7 = 5869
Simulation 8 = 7460
Simulation 9 = 6584
Simulation 10 = 7082

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 48
Simulation 1 = 5918
Simulation 2 = 7693
Simulation 3 = 5729
Simulation 4 = 5459
Simulation 5 = 5867
Simulation 6 = 6058
Simulation 7 = 6311
Simulation 8 = 6779
Simulation 9 = 6211
Simulation 10 = 6896

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 50
Simulation 1 = 5857
Simulation 2 = 7190
Simulation 3 = 5789
Simulation 4 = 5903
Simulation 5 = 5012
Simulation 6 = 5351
Simulation 7 = 7683
Simulation 8 = 7931
Simulation 9 = 5853
Simulation 10 = 6248

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 52
Simulation 1 = 7163
Simulation 2 = 6423
Simulation 3 = 6397
Simulation 4 = 5210
Simulation 5 = 7437
Simulation 6 = 6981
Simulation 7 = 6862
Simulation 8 = 6695
Simulation 9 = 7685
Simulation 10 = 6032

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 54
Simulation 1 = 5887
Simulation 2 = 6878
Simulation 3 = 7034
Simulation 4 = 5396
Simulation 5 = 5795
Simulation 6 = 6532
Simulation 7 = 6271
Simulation 8 = 5640
Simulation 9 = 6462
Simulation 10 = 6982

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 56
Simulation 1 = 7885
Simulation 2 = 7131
Simulation 3 = 6457
Simulation 4 = 7562
Simulation 5 = 6461
Simulation 6 = 6415
Simulation 7 = 7752
Simulation 8 = 5511
Simulation 9 = 7043
Simulation 10 = 6001

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 58
Simulation 1 = 6817
Simulation 2 = 6154
Simulation 3 = 6751
Simulation 4 = 5885
Simulation 5 = 6789
Simulation 6 = 5913
Simulation 7 = 5770
Simulation 8 = 6117
Simulation 9 = 7185
Simulation 10 = 6567

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 60
Simulation 1 = 6454
Simulation 2 = 6209
Simulation 3 = 7033
Simulation 4 = 7123
Simulation 5 = 7117
Simulation 6 = 6233
Simulation 7 = 6653
Simulation 8 = 5667
Simulation 9 = 7005
Simulation 10 = 7489

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 62
Simulation 1 = 6960
Simulation 2 = 5546
Simulation 3 = 5857
Simulation 4 = 6532
Simulation 5 = 5095
Simulation 6 = 7243
Simulation 7 = 6246
Simulation 8 = 7944
Simulation 9 = 6643
Simulation 10 = 6579

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 64
Simulation 1 = 7406
Simulation 2 = 6520
Simulation 3 = 6791
Simulation 4 = 7647
Simulation 5 = 6141
Simulation 6 = 7449
Simulation 7 = 7576
Simulation 8 = 6053
Simulation 9 = 7056
Simulation 10 = 6810

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 66
Simulation 1 = 8231
Simulation 2 = 5842
Simulation 3 = 6696
Simulation 4 = 7688
Simulation 5 = 6811
Simulation 6 = 6780
Simulation 7 = 6499
Simulation 8 = 6638
Simulation 9 = 6108
Simulation 10 = 6100

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 68
Simulation 1 = 6460
Simulation 2 = 7137
Simulation 3 = 7008
Simulation 4 = 5982
Simulation 5 = 7310
Simulation 6 = 6234
Simulation 7 = 6572
Simulation 8 = 5990
Simulation 9 = 6406
Simulation 10 = 5928

GridSize = 51
NumBlocks = 24
NumAgents = 3
BlockSensorRange = 70
Simulation 1 = 7541
Simulation 2 = 6492
Simulation 3 = 6107
Simulation 4 = 5598
Simulation 5 = 7232
Simulation 6 = 6643
Simulation 7 = 7531
Simulation 8 = 5771
Simulation 9 = 6714
Simulation 10 = 5674

